place,province,lat,long,violation,sanction,fine_certainty,fine_value,number_of_charges_or_violations,number_of_people,individual_business,report_month,acting_agency,legislation,known_demographic,event_desc,event_url,other_event_url
"ottawa, ontario ",on,45.3499,-75.8188,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884704
"ottawa, ontario ",on,45.4564,-75.4796,unauthorized use of parks,$880.00 ,yes,880,1,19,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884705
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884706
"ottawa, ontario ",on,45.365,-75.7998,unauthorized use of parks,$880.00 ,yes,880,1,7,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884707
"ottawa, ontario ",on,45.3735,-75.7429,unauthorized use of parks,$880.00 ,yes,880,1,16,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884708
"ottawa, ontario ",on,45.4373,-75.6218,unauthorized use of parks,$880.00 ,yes,880,1,11,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884709
"ottawa, ontario ",on,45.262,-75.7687,unauthorized use of parks,$880.00 ,yes,880,1,3,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884710
"ottawa, ontario ",on,45.3996,-75.7117,unauthorized use of parks,$880.00 ,yes,880,1,15,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884711
"ottawa, ontario ",on,45.3996,-75.7117,unauthorized use of parks,$880.00 ,yes,880,1,15,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884712
"ottawa, ontario ",on,45.3996,-75.7117,unauthorized use of parks,$880.00 ,yes,880,1,15,individual,apr,ottawa bylaw officers,emergency management and civil protection act,not specified,here's where ottawans are being fined,https://www.cbc.ca/news/canada/ottawa/here-s-where-ottawans-are-being-fined-for-hanging-out-in-parks-1.5541552,https://ottawa.ctvnews.ca/ottawa-bylaw-issues-104-tickets-for-covid-19-violations-in-four-weeks-1.4920827; https://ottawacitizen.com/news/ottawa-father-alleges-bylaw-officer-punched-him-in-the-face-city-denies-any-improper-conduct-during-ticketing-altercation/; https://ottawacitizen.com/news/local-news/britannia-man-fined-880-while-walking-dog-through-britannia-park/?utm_medium=Social&utm_source=Facebook&fbclid=IwAR2FyWX5Z3PgKDqHsz87za93IYDqWRNsJUaeFbveF_FXNKHk65zcNMwTvt4#Echobox=1586186625; https://ottawa.ctvnews.ca/bylaw-officers-issue-7-tickets-since-monday-for-violating-covid-19-pandemic-restrictions-in-ottawa-1.4890490; https://ottawa.ctvnews.ca/43-tickets-issued-to-people-in-closed-ottawa-parks-non-essential-businesses-over-the-weekend-1.4884713
